date,open,high,low,close
2024-04-01 02:26:00,1.07862,1.07867,1.07861,1.07867
2024-04-01 02:27:00,1.07868,1.07868,1.07868,1.07868
2024-04-01 02:28:00,1.07869,1.07876,1.07869,1.07871
2024-04-01 02:29:00,1.07871,1.07879,1.07871,1.07878
2024-04-01 02:30:00,1.07877,1.07877,1.07874,1.07874
2024-04-01 02:31:00,1.07874,1.07874,1.0787,1.07873
2024-04-01 02:32:00,1.07872,1.0788,1.07872,1.0788
2024-04-01 02:33:00,1.0788,1.07883,1.07878,1.07882
2024-04-01 02:34:00,1.07881,1.07884,1.0788,1.07882
2024-04-01 02:35:00,1.07881,1.07881,1.07871,1.07872
2024-04-01 02:36:00,1.07872,1.07873,1.07871,1.07871
2024-04-01 02:37:00,1.07872,1.07875,1.07871,1.07875
2024-04-01 02:38:00,1.07875,1.07889,1.07875,1.07888
2024-04-01 02:39:00,1.07887,1.07887,1.07881,1.07882
2024-04-01 02:40:00,1.07882,1.07892,1.07882,1.07892
2024-04-01 02:41:00,1.07892,1.07897,1.0789,1.07894
2024-04-01 02:42:00,1.07893,1.07894,1.07891,1.07894
2024-04-01 02:43:00,1.07894,1.07894,1.07888,1.07891
2024-04-01 02:44:00,1.0789,1.07896,1.0789,1.07892
2024-04-01 02:45:00,1.07891,1.07892,1.07885,1.07886
2024-04-01 02:46:00,1.07886,1.07891,1.07886,1.07888
2024-04-01 02:47:00,1.07887,1.07887,1.07884,1.07886
2024-04-01 02:48:00,1.07887,1.07892,1.07887,1.07892
2024-04-01 02:49:00,1.07892,1.07892,1.07885,1.07888
2024-04-01 02:50:00,1.07889,1.07889,1.07881,1.07886
2024-04-01 02:51:00,1.07887,1.07888,1.07886,1.07886
2024-04-01 02:52:00,1.07888,1.07888,1.07881,1.07882
2024-04-01 02:53:00,1.07882,1.07882,1.07877,1.07879
2024-04-01 02:54:00,1.07879,1.07879,1.07874,1.07878
2024-04-01 02:55:00,1.07878,1.07884,1.07878,1.07883
2024-04-01 02:56:00,1.07884,1.07884,1.07878,1.07879
2024-04-01 02:57:00,1.07879,1.07881,1.07874,1.07874
2024-04-01 02:58:00,1.07874,1.07878,1.07873,1.07874
2024-04-01 02:59:00,1.07874,1.07881,1.07874,1.07879
2024-04-01 03:00:00,1.0788,1.07883,1.07879,1.07883
2024-04-01 03:01:00,1.07882,1.07882,1.07869,1.07869
2024-04-01 03:02:00,1.07869,1.07874,1.07868,1.07872
2024-04-01 03:03:00,1.0787,1.07872,1.07868,1.0787
2024-04-01 03:04:00,1.07869,1.07873,1.07869,1.07873
2024-04-01 03:05:00,1.07874,1.07874,1.07869,1.07869
2024-04-01 03:06:00,1.07868,1.07869,1.07868,1.07869
2024-04-01 03:07:00,1.07869,1.07869,1.07854,1.07854
2024-04-01 03:08:00,1.07854,1.07854,1.07851,1.07854
2024-04-01 03:09:00,1.07853,1.07854,1.0785,1.07854
2024-04-01 03:10:00,1.07855,1.07856,1.07854,1.07854
2024-04-01 03:11:00,1.07855,1.07855,1.07854,1.07854
2024-04-01 03:12:00,1.07855,1.07864,1.07855,1.07864
2024-04-01 03:13:00,1.07863,1.07864,1.07863,1.07864
2024-04-01 03:14:00,1.07865,1.07865,1.07859,1.07864
2024-04-01 03:15:00,1.07864,1.07864,1.07858,1.0786
2024-04-01 03:16:00,1.0786,1.07871,1.07859,1.07869
2024-04-01 03:17:00,1.07869,1.07872,1.07865,1.07871
